lesson_id,memory_id,type,prompt,expected_answer,schedule_days,skill_tag,failure_action,success_action
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-MV06,evidence,How can you prove 6:9 = 2:3?,Divide both parts by 3 or multiply 2:3 by 3.,"1,3,7,14,30",MATH.G6.PROBLEM_SOLVING.CONTEXT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-MV01,concept,What is theme?,A message or lesson about life in a story.,"1,3,7,14,30",ELA.G6.RL.THEME,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-MV02,contrast,"Why is “courage” a topic, not a theme?",It is only a subject; a theme makes a statement about it.,"1,3,7,14,30",ELA.G6.RL.TEXT_EVIDENCE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-MV03,process,What evidence helps infer theme?,"Character choices, conflict, consequences, repeated ideas.","1,3,7,14,30",ELA.G6.REASONING.EXPLAIN,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-MV04,CER,What does reasoning do?,Connects evidence to the claim.,"1,3,7,14,30",ELA.G6.DISCUSSION.ACADEMIC,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-MV05,apply,Turn “friendship” into a theme.,Example: True friendship requires loyalty and honesty.,"1,3,7,14,30",ELA.G6.DISCUSSION.ACADEMIC,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-MV06,mistake,Why is a plot event not enough to be a theme?,"A theme is a broader message, not only what happened.","1,3,7,14,30",ELA.G6.DISCUSSION.ACADEMIC,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-MV01,vocab,What is evaporation?,Liquid water becoming water vapor.,"1,3,7,14,30",SCI.G6.EARTH_SYSTEMS.WATER_CYCLE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-MV02,vocab,What is condensation?,Water vapor cooling into droplets.,"1,3,7,14,30",SCI.G6.SYSTEMS.MODELS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-MV03,concept,What powers evaporation?,Energy from the Sun.,"1,3,7,14,30",SCI.G6.ENERGY.SUN,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-MV04,systems,Why is the water cycle a system?,Connected reservoirs and processes move water.,"1,3,7,14,30",SCI.G6.EVIDENCE.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-MV05,mistake,Does water disappear when it evaporates?,"No, it becomes water vapor.","1,3,7,14,30",SCI.G6.EVIDENCE.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-MV06,apply,Name a reservoir besides ocean or cloud.,"Groundwater, ice, plants, soil, lake, river, etc.","1,3,7,14,30",SCI.G6.EVIDENCE.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-MV01,concept,Why did civilizations often grow near rivers?,"Water, fertile soil, farming, transportation, and trade.","1,3,7,14,30",SS.G6.GEOGRAPHY.HUMAN_ENVIRONMENT_INTERACTION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-MV02,vocab,What is surplus?,Extra food or goods.,"1,3,7,14,30",SS.G6.HISTORY.EARLY_CIVILIZATIONS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-MV03,process,How can surplus lead to specialization?,"Not everyone has to farm, so people can do other jobs.","1,3,7,14,30",SS.G6.EVIDENCE.MAPS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-MV04,evidence,What kind of source helps prove settlement patterns?,Maps and geographic evidence.,"1,3,7,14,30",SS.G6.CAUSE_EFFECT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-MV05,mistake,Why is geography not the only cause of civilization?,Human choices and technology matter too.,"1,3,7,14,30",SS.G6.CAUSE_EFFECT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-MV06,apply,Name one challenge of living near a river.,"Flooding, conflict, disease, etc.","1,3,7,14,30",SS.G6.CAUSE_EFFECT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-MV01,vocab,What is a variable?,A symbol representing a quantity.,"1,3,7,14,30",MATH.A1.EXPRESSIONS.INTERPRET,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-MV02,vocab,What is a coefficient?,A number multiplied by a variable.,"1,3,7,14,30",MATH.A1.EXPRESSIONS.WRITE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-MV03,concept,Does an expression have an equals sign?,No.,"1,3,7,14,30",MATH.A1.STRUCTURE.REASONING,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-MV04,evaluate,Evaluate 2x + 3 when x = 4.,11.,"1,3,7,14,30",MATH.A1.EVALUATE.SUBSTITUTE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-MV05,mistake,What does 5y mean?,"5 multiplied by y, not 5 + y.","1,3,7,14,30",MATH.A1.EVALUATE.SUBSTITUTE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-MV06,apply,Write an expression for 4 less than n.,n - 4.,"1,3,7,14,30",MATH.A1.EVALUATE.SUBSTITUTE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-MV01,concept,What does CER stand for?,"Claim, Evidence, Reasoning.","1,3,7,14,30",ELA.G9.ARGUMENT.CLAIM,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-MV02,vocab,What is reasoning?,Explanation connecting evidence to the claim.,"1,3,7,14,30",ELA.G9.TEXT_EVIDENCE.RELEVANCE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-MV03,mistake,What is quote dropping?,Using a quote without explaining it.,"1,3,7,14,30",ELA.G9.REASONING.ANALYSIS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-MV04,process,What question helps find missing reasoning?,So what? / How does this prove the claim?,"1,3,7,14,30",ELA.G9.WRITING.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-MV05,apply,Write a claim about a brave character.,Example: The character shows bravery by acting despite fear.,"1,3,7,14,30",ELA.G9.WRITING.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-MV06,contrast,Evidence or reasoning: “This shows...”,Reasoning.,"1,3,7,14,30",ELA.G9.WRITING.EXPLANATION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-MV01,concept,Why is a cell a system?,It has interacting parts that work together.,"1,3,7,14,30",SCI.BIO.CELLS.ORGANELLES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-MV02,vocab,What is an organelle?,A specialized structure inside a cell.,"1,3,7,14,30",SCI.BIO.SYSTEMS.STRUCTURE_FUNCTION,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-MV03,function,What does the membrane do?,Controls what enters and leaves.,"1,3,7,14,30",SCI.BIO.MODELS.EVIDENCE,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-MV04,function,What do ribosomes make?,Proteins.,"1,3,7,14,30",SCI.BIO.HOMEOSTASIS.INTRO,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-MV05,mistake,Why is memorizing organelles alone not enough?,You must understand interactions and functions.,"1,3,7,14,30",SCI.BIO.HOMEOSTASIS.INTRO,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-MV06,apply,What might happen if mitochondria cannot release energy?,Cell processes may not have enough usable energy.,"1,3,7,14,30",SCI.BIO.HOMEOSTASIS.INTRO,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-MV01,concept,Why did river valleys support early civilizations?,"Water, fertile soil, farming, transportation, and surplus.","1,3,7,14,30",SS.WH.EARLY_CIVILIZATIONS.RIVER_VALLEYS,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-MV02,vocab,What is surplus?,Extra food beyond immediate need.,"1,3,7,14,30",SS.WH.GEOGRAPHY.HUMAN_ENVIRONMENT,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-MV03,concept,What is specialization?,Different people doing different jobs.,"1,3,7,14,30",SS.WH.EVIDENCE.SOURCES,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-MV04,mistake,Why is one-cause history weak?,Historical causes interact and require evidence.,"1,3,7,14,30",SS.WH.CAUSATION.COMPLEXITY,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-MV05,evidence,What evidence supports settlement patterns?,"Maps, archaeology, sources.","1,3,7,14,30",SS.WH.CAUSATION.COMPLEXITY,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-MV06,apply,Connect surplus to government.,"Surplus supports larger populations and organization, which can require rules/leaders.","1,3,7,14,30",SS.WH.CAUSATION.COMPLEXITY,"Show explanation, assign related reteach item, and schedule next review for tomorrow.","If correct with confidence twice, increase interval; if slow/low confidence, keep interval short."
