path,type,bytes,lines,area
docs/04_THINKING_SKILLS_FRAMEWORK.md,md,7963,372,docs
docs/05_PRIVACY_AND_CHILD_SAFETY.md,md,8379,291,docs
docs/06_ACCESSIBILITY_PLAN.md,md,6613,244,docs
docs/07_STANDARDS_MAP.md,md,6788,268,docs
docs/08_CURRICULUM_ARCHITECTURE.md,md,6557,346,docs
docs/09_LESSON_TEMPLATE_SPEC.md,md,7303,296,docs
docs/10_ASSESSMENT_AND_MASTERY_MODEL.md,md,6254,236,docs
docs/11_RETENTION_ENGINE_SPEC.md,md,5871,250,docs
docs/12_ADAPTIVE_LEARNING_RULES.md,md,5683,245,docs
docs/13_GAMIFICATION_AND_MOTIVATION.md,md,5883,280,docs
docs/14_FEATURE_MAP.md,md,5889,294,docs
docs/15_MVP_SCOPE.md,md,5234,211,docs
docs/16_DATA_MODEL_SPEC.md,md,8253,391,docs
docs/17_CONTENT_AUTHORING_GUIDE.md,md,5772,281,docs
docs/18_AI_TUTOR_POLICY.md,md,5979,244,docs
docs/19_TECH_STACK_DECISION.md,md,5061,214,docs
docs/20_ROLES_AND_PERMISSIONS.md,md,6081,254,docs
docs/21_BUILD_SEQUENCE.md,md,6161,252,docs
docs/22_DESIGN_SYSTEM_AND_UI_GUIDELINES.md,md,6220,196,docs
docs/23_INFORMATION_ARCHITECTURE_AND_NAVIGATION.md,md,5554,206,docs
docs/24_USER_ONBOARDING_AND_PLACEMENT.md,md,5498,171,docs
docs/25_STUDENT_DASHBOARD_SPEC.md,md,5199,167,docs
docs/26_PARENT_DASHBOARD_SPEC.md,md,5055,162,docs
docs/27_TEACHER_DASHBOARD_SPEC.md,md,4850,149,docs
docs/28_CONTENT_QA_AND_REVIEW_WORKFLOW.md,md,4868,156,docs
docs/29_CURRICULUM_PRODUCTION_PIPELINE.md,md,4832,155,docs
docs/30_SAMPLE_CONTENT_SEED_PLAN.md,md,4884,163,docs
docs/31_LEARNING_ANALYTICS_AND_REPORTING.md,md,4887,164,docs
docs/32_ERROR_HANDLING_EMPTY_STATES.md,md,4744,154,docs
docs/33_SECURITY_ARCHITECTURE.md,md,4841,145,docs
docs/34_TESTING_AND_QA_PLAN.md,md,4897,155,docs
docs/35_DEPLOYMENT_AND_ENVIRONMENTS.md,md,4730,154,docs
docs/36_API_AND_SERVICE_BOUNDARIES.md,md,4727,147,docs
docs/37_DATABASE_MIGRATION_AND_SEEDING.md,md,4663,142,docs
docs/38_PERFORMANCE_AND_SCALABILITY.md,md,4708,143,docs
docs/39_MONITORING_LOGGING_INCIDENT_RESPONSE.md,md,4783,152,docs
docs/40_RELEASE_ROADMAP_AND_MILESTONES.md,md,4914,160,docs
docs/41_BRAND_NAMING_AND_POSITIONING.md,md,4672,145,docs
docs/42_COPYWRITING_AND_TONE_GUIDE.md,md,4707,160,docs
docs/43_AGE_APPROPRIATE_UX_GUIDELINES.md,md,4794,148,docs
docs/44_PARENT_CONSENT_AND_ACCOUNT_FLOW.md,md,4775,147,docs
docs/45_DATA_RETENTION_AND_DELETION_POLICY.md,md,4692,143,docs
docs/46_STANDARDS_TAGGING_GUIDE.md,md,4587,142,docs
docs/47_RUBRIC_LIBRARY.md,md,4555,151,docs
docs/48_QUESTION_BANK_SPEC.md,md,4767,157,docs
docs/49_PROJECT_AND_CAPSTONE_LIBRARY.md,md,4801,160,docs
docs/50_AI_EVALUATION_AND_GUARDRAILS.md,md,4927,145,docs
docs/51_PRODUCT_REQUIREMENTS_DOCUMENT.md,md,4498,117,docs
docs/52_USER_STORIES_AND_ACCEPTANCE_CRITERIA.md,md,4125,113,docs
docs/53_K12_SCOPE_AND_SEQUENCE.md,md,4463,108,docs
docs/54_LESSON_JSON_SCHEMA_AND_VALIDATION.md,md,4331,129,docs
docs/55_MVP_BACKLOG_AND_TASK_BREAKDOWN.md,md,3925,106,docs
docs/56_ERD_AND_DATABASE_RELATIONSHIPS.md,md,4131,105,docs
docs/57_API_SERVICE_CONTRACTS.md,md,3830,114,docs
docs/58_SECURITY_THREAT_MODEL.md,md,3861,102,docs
docs/59_QA_TEST_MATRIX.md,md,3788,107,docs
docs/60_ANALYTICS_EVENT_TAXONOMY.md,md,4113,116,docs
docs/69_SYSTEM_WIDE_TRACEABILITY_MATRIX.md,md,2632,43,docs
docs/70_MVP_PRODUCTION_HARDENING_PLAN.md,md,1216,38,docs
docs/71_FEATURE_SYSTEM_ACCEPTANCE_CRITERIA.md,md,1390,46,docs
docs/72_LEARNING_ENGINE_ALGORITHM_SPEC.md,md,1251,35,docs
docs/73_DATA_STATE_AND_EVENT_CONTRACTS.md,md,871,41,docs
docs/74_V3_QUALITY_GATE_CHECKLIST.md,md,968,34,docs
docs/75_MEMORY_VAULT_REVIEW_SESSION_WORKFLOW.md,md,4530,148,docs
docs/76_V5_THINKING_AND_ADAPTATION_SYSTEMS.md,md,4918,194,docs
docs/77_THINKING_SYSTEMS_V6_AUDIT_AND_IMPROVEMENT_PLAN.md,md,1145,23,docs
docs/78_THINKING_SYSTEMS_DATA_CONTRACTS.md,md,1401,22,docs
docs/79_THINKING_SYSTEMS_QA_AND_ACCEPTANCE_TESTS.md,md,1185,26,docs
docs/mvp-vertical-slice/00_MVP_VERTICAL_SLICE_MODULE_INDEX.md,md,1407,37,docs
docs/mvp-vertical-slice/01_STUDENT_DASHBOARD_SPEC.md,md,5990,172,docs
docs/mvp-vertical-slice/02_LESSON_PLAYER_SPEC.md,md,5897,170,docs
docs/mvp-vertical-slice/03_QUIZ_ENGINE_SPEC.md,md,5958,173,docs
docs/mvp-vertical-slice/04_FEEDBACK_ENGINE_SPEC.md,md,5813,169,docs
docs/mvp-vertical-slice/05_MASTERY_ENGINE_SPEC.md,md,5695,165,docs
docs/mvp-vertical-slice/06_MEMORY_VAULT_SPEC.md,md,6960,202,docs
docs/mvp-vertical-slice/07_PARENT_DASHBOARD_SPEC.md,md,5878,169,docs
docs/mvp-vertical-slice/08_END_TO_END_DATA_FLOW.md,md,1459,50,docs
docs/mvp-vertical-slice/09_COMPONENT_AND_STATE_MAP.md,md,1373,32,docs
docs/mvp-vertical-slice/10_ACCEPTANCE_TESTS.md,md,2719,73,docs
docs/mvp-vertical-slice/README.md,md,494,11,docs
docs/mvp-vertical-slice/tables/mvp_module_acceptance_criteria.csv,csv,2274,40,docs
docs/mvp-vertical-slice/tables/mvp_module_backlog.csv,csv,2172,36,docs
docs/thinking-systems/00_THINKING_SYSTEMS_DEEP_DIVE_INDEX.md,md,1093,31,docs
docs/thinking-systems/01_MISTAKE_JOURNAL_DEEP_DIVE.md,md,2078,60,docs
docs/thinking-systems/02_RETEACH_INTERVENTION_ENGINE_DEEP_DIVE.md,md,1869,56,docs
docs/thinking-systems/03_CHALLENGE_ENRICHMENT_ENGINE_DEEP_DIVE.md,md,1850,56,docs
docs/thinking-systems/04_PROBLEM_SOLVING_LAB_DEEP_DIVE.md,md,1790,54,docs
docs/thinking-systems/05_EVIDENCE_ROOM_DEEP_DIVE.md,md,1744,53,docs
docs/thinking-systems/06_INTERPRETATION_LENS_DEEP_DIVE.md,md,1722,53,docs
docs/thinking-systems/07_DISCUSSION_ARENA_DEEP_DIVE.md,md,1729,51,docs
docs/thinking-systems/08_LEARNING_PLANNER_DEEP_DIVE.md,md,1808,53,docs
docs/thinking-systems/09_SYSTEMS_MAPPER_DEEP_DIVE.md,md,1780,50,docs
docs/thinking-systems/10_PORTFOLIO_PROJECT_EVIDENCE_SYSTEM_DEEP_DIVE.md,md,1912,57,docs
next-env.d.ts,ts,81,2,next-env.d.ts
next.config.mjs,mjs,91,3,next.config.mjs
package.json,json,853,32,package.json
postcss.config.mjs,mjs,104,7,postcss.config.mjs
reports/BUILD_GUIDE_COMPLIANCE_MATRIX_V3.csv,csv,1278,23,reports
reports/BUILD_GUIDE_COMPLIANCE_MATRIX_V5.csv,csv,1915,33,reports
reports/BUILD_GUIDE_COMPLIANCE_MATRIX_V6.csv,csv,4167,63,reports
reports/BUILD_GUIDE_COMPLIANCE_SUMMARY_V3.csv,csv,3155,15,reports
reports/COMPREHENSIVE_SYSTEM_AUDIT_V3.md,md,6563,149,reports
reports/CONSISTENCY_AUDIT_REPORT.md,md,1395,65,reports
reports/FEATURE_SYSTEM_IMPROVEMENT_REGISTER_V3.csv,csv,1859,12,reports
reports/LESSON_VALIDATION_OUTPUT.txt,txt,60,2,reports
reports/MEMORY_VAULT_REVIEW_SESSION_BUILD_REPORT_V4.md,md,3886,149,reports
reports/MVP_MODULE_DESIGN_BUILDOUT_REPORT.md,md,1177,34,reports
reports/MVP_MODULE_V2_REVIEW_AND_IMPROVEMENT_REPORT.md,md,2563,54,reports
reports/MVP_VERTICAL_SLICE_BUILD_REPORT.md,md,2303,80,reports
reports/V3_AUDIT_SCRIPT_OUTPUT.txt,txt,82,3,reports
reports/V3_CHANGELOG.md,md,943,28,reports
reports/V3_LESSON_VALIDATION_OUTPUT.txt,txt,60,2,reports
reports/V3_STATIC_TEST_OUTPUT.txt,txt,75,3,reports
reports/V4_FOUNDATION_AUDIT_OUTPUT.txt,txt,157,7,reports
reports/V4_LESSON_VALIDATION_OUTPUT.txt,txt,146,6,reports
reports/V4_STATIC_TEST_OUTPUT.txt,txt,197,8,reports
reports/V5_FOUNDATION_AUDIT_OUTPUT.txt,txt,82,3,reports
reports/V5_LESSON_VALIDATION_OUTPUT.txt,txt,60,2,reports
reports/V5_SEED_LESSON_EXPANSION_REPORT.md,md,804,22,reports
reports/V5_STATIC_TEST_OUTPUT.txt,txt,161,5,reports
reports/V5_THINKING_SYSTEMS_BUILD_REPORT.md,md,1357,34,reports
reports/V6_FOUNDATION_AUDIT_OUTPUT.txt,txt,157,7,reports
reports/V6_FULL_CHECK_OUTPUT.txt,txt,693,27,reports
reports/V6_LESSON_VALIDATION_OUTPUT.txt,txt,146,6,reports
reports/V6_STATIC_TEST_OUTPUT.txt,txt,291,10,reports
schemas/lesson.schema.v2.json,json,1545,82,schemas
scripts/audit-foundation.mjs,mjs,6807,108,scripts
scripts/static-smoke-tests.mjs,mjs,8113,152,scripts
scripts/validate-lessons.mjs,mjs,5063,107,scripts
scripts/validate-lessons.ts,ts,90,2,scripts
seed-lessons/LESSON_JSON_SCHEMA_V2.json,json,1545,82,seed-lessons
seed-lessons/LESSON_REVIEW_AND_POLISH_REPORT_V2.md,md,3700,41,seed-lessons
seed-lessons/MANIFEST.md,md,2373,43,seed-lessons
seed-lessons/README.md,md,1502,43,seed-lessons
seed-lessons/answer-keys/MASTER_ANSWER_KEY_V2.md,md,21146,328,seed-lessons
seed-lessons/answer-keys/answer_key_master_v2.csv,csv,20083,145,seed-lessons
seed-lessons/lessons/json/BA-G6-CS-U1-L1_DEBUGGING_AN_ALGORITHM.json,json,21577,534,seed-lessons
seed-lessons/lessons/json/BA-G6-ELA-U2-L1_THEME_AND_TEXT_EVIDENCE.json,json,27144,636,seed-lessons
seed-lessons/lessons/json/BA-G6-MATH-U1-L1_UNDERSTANDING_RATIOS.json,json,26333,638,seed-lessons
seed-lessons/lessons/json/BA-G6-SCI-U2-L1_WATER_CYCLE_SYSTEMS.json,json,26980,646,seed-lessons
seed-lessons/lessons/json/BA-G6-SS-U2-L1_ANCIENT_CIVILIZATIONS_AND_GEOGRAPHY.json,json,27480,641,seed-lessons
seed-lessons/lessons/json/FA-G3-ELA-U2-L1_FINDING_THE_MAIN_IDEA.json,json,27922,643,seed-lessons
seed-lessons/lessons/json/FA-G3-MATH-U1-L1_MULTIPLICATION_AS_EQUAL_GROUPS.json,json,26537,637,seed-lessons
seed-lessons/lessons/json/FA-G3-SCI-U1-L1_PLANT_LIFE_CYCLES.json,json,26428,644,seed-lessons
seed-lessons/lessons/json/FA-G3-SS-U1-L1_COMMUNITIES_AND_ROLES.json,json,26826,640,seed-lessons
seed-lessons/lessons/json/FA-G3-WR-U1-L1_BUILDING_A_STRONG_PARAGRAPH.json,json,22653,533,seed-lessons
seed-lessons/lessons/json/SA-G9-ALG-U1-L1_VARIABLES_AND_EXPRESSIONS.json,json,25877,641,seed-lessons
seed-lessons/lessons/json/SA-G9-BIO-U2-L1_CELLS_AS_SYSTEMS.json,json,26877,645,seed-lessons
seed-lessons/lessons/json/SA-G9-ENG-U3-L1_CLAIM_EVIDENCE_AND_REASONING.json,json,27409,642,seed-lessons
seed-lessons/lessons/json/SA-G9-FIN-U1-L1_BUDGETING_FROM_FIRST_PRINCIPLES.json,json,21831,539,seed-lessons
seed-lessons/lessons/json/SA-G9-STUDY-U1-L1_PLANNING_MONITORING_AND_EVALUATING_LEARNING.json,json,22281,533,seed-lessons
seed-lessons/lessons/json/SA-G9-WH-U2-L1_EARLY_RIVER_VALLEY_CIVILIZATIONS.json,json,28552,646,seed-lessons
seed-lessons/lessons/markdown/BA-G6-CS-U1-L1_DEBUGGING_AN_ALGORITHM.md,md,8018,208,seed-lessons
seed-lessons/lessons/markdown/BA-G6-ELA-U2-L1_THEME_AND_TEXT_EVIDENCE.md,md,15412,383,seed-lessons
seed-lessons/lessons/markdown/BA-G6-MATH-U1-L1_UNDERSTANDING_RATIOS.md,md,14615,380,seed-lessons
seed-lessons/lessons/markdown/BA-G6-SCI-U2-L1_WATER_CYCLE_SYSTEMS.md,md,15237,385,seed-lessons
seed-lessons/lessons/markdown/BA-G6-SS-U2-L1_ANCIENT_CIVILIZATIONS_AND_GEOGRAPHY.md,md,15708,385,seed-lessons
seed-lessons/lessons/markdown/FA-G3-ELA-U2-L1_FINDING_THE_MAIN_IDEA.md,md,16048,380,seed-lessons
seed-lessons/lessons/markdown/FA-G3-MATH-U1-L1_MULTIPLICATION_AS_EQUAL_GROUPS.md,md,14866,379,seed-lessons
seed-lessons/lessons/markdown/FA-G3-SCI-U1-L1_PLANT_LIFE_CYCLES.md,md,14683,383,seed-lessons
seed-lessons/lessons/markdown/FA-G3-SS-U1-L1_COMMUNITIES_AND_ROLES.md,md,15045,382,seed-lessons
seed-lessons/lessons/markdown/FA-G3-WR-U1-L1_BUILDING_A_STRONG_PARAGRAPH.md,md,8820,206,seed-lessons
seed-lessons/lessons/markdown/SA-G9-ALG-U1-L1_VARIABLES_AND_EXPRESSIONS.md,md,14179,385,seed-lessons
seed-lessons/lessons/markdown/SA-G9-BIO-U2-L1_CELLS_AS_SYSTEMS.md,md,15110,386,seed-lessons
seed-lessons/lessons/markdown/SA-G9-ENG-U3-L1_CLAIM_EVIDENCE_AND_REASONING.md,md,15700,384,seed-lessons
seed-lessons/lessons/markdown/SA-G9-FIN-U1-L1_BUDGETING_FROM_FIRST_PRINCIPLES.md,md,8188,209,seed-lessons
seed-lessons/lessons/markdown/SA-G9-STUDY-U1-L1_PLANNING_MONITORING_AND_EVALUATING_LEARNING.md,md,8437,207,seed-lessons
seed-lessons/lessons/markdown/SA-G9-WH-U2-L1_EARLY_RIVER_VALLEY_CIVILIZATIONS.md,md,16651,390,seed-lessons
seed-lessons/memory-vault/MASTER_MEMORY_VAULT_ITEMS_V2.md,md,17625,256,seed-lessons
seed-lessons/memory-vault/memory_vault_items_v2.csv,csv,24981,73,seed-lessons
seed-lessons/pack_index.json,json,2350,100,seed-lessons
seed-lessons/review-rubrics/LESSON_QA_RUBRIC_V2.md,md,1321,23,seed-lessons
seed-lessons/tables/challenge_paths_v2.csv,csv,6205,37,seed-lessons
seed-lessons/tables/complete_lesson_index_v2.csv,csv,1891,13,seed-lessons
seed-lessons/tables/lesson_audit_matrix_v2.csv,csv,993,13,seed-lessons
seed-lessons/tables/quiz_bank_v2.csv,csv,34466,145,seed-lessons
seed-lessons/tables/reteach_paths_v2.csv,csv,19418,61,seed-lessons
src/app/globals.css,css,194,,src
src/app/layout.tsx,tsx,379,15,src
src/app/page.tsx,tsx,262,7,src
src/features/analytics/analyticsEvents.ts,ts,731,28,src
src/features/challenge/challengeEnrichmentEngine.ts,ts,1423,20,src
src/features/dashboards/parent/ParentDashboard.tsx,tsx,7864,129,src
src/features/dashboards/student/StudentDashboard.tsx,tsx,12186,228,src
src/features/feedback/feedbackEngine.ts,ts,2398,43,src
src/features/lessons/LessonPlayer.tsx,tsx,12462,271,src
src/features/mastery/masteryEngine.ts,ts,2331,66,src
src/features/memory-vault/components/MemoryVaultReviewSession.tsx,tsx,12877,227,src
src/features/memory-vault/memoryVaultEngine.ts,ts,9438,228,src
src/features/mistake-journal/mistakeJournalEngine.ts,ts,6986,134,src
src/features/portfolio/portfolioEvidenceEngine.ts,ts,649,14,src
src/features/progress/progressEngine.ts,ts,3012,73,src
src/features/quizzes/components/QuizPanel.tsx,tsx,4852,93,src
src/features/quizzes/quizEngine.ts,ts,5158,135,src
src/features/reteach/reteachInterventionEngine.ts,ts,2957,48,src
src/features/thinking/components/ThinkingSystemsHub.tsx,tsx,3999,67,src
src/features/thinking/components/systems/ChallengeEnrichmentPanel.tsx,tsx,685,12,src
src/features/thinking/components/systems/DiscussionArenaPanel.tsx,tsx,699,14,src
src/features/thinking/components/systems/EvidenceRoomPanel.tsx,tsx,915,20,src
src/features/thinking/components/systems/InterpretationLensPanel.tsx,tsx,548,12,src
src/features/thinking/components/systems/LearningPlannerPanel.tsx,tsx,785,16,src
src/features/thinking/components/systems/MistakeJournalPanel.tsx,tsx,1606,28,src
src/features/thinking/components/systems/PortfolioEvidencePanel.tsx,tsx,849,15,src
src/features/thinking/components/systems/ProblemSolvingLabPanel.tsx,tsx,849,17,src
src/features/thinking/components/systems/ReteachInterventionPanel.tsx,tsx,1028,18,src
src/features/thinking/components/systems/SystemPanel.tsx,tsx,1340,30,src
src/features/thinking/components/systems/SystemsMapperPanel.tsx,tsx,800,15,src
src/features/thinking/thinkingSystemsEngine.ts,ts,13369,161,src
src/features/vertical-slice/MvpLearningLoop.tsx,tsx,14424,268,src
src/lib/curriculum/loadLessons.ts,ts,1749,52,src
src/lib/demo/mockStudent.ts,ts,195,8,src
src/types/analytics.ts,ts,522,21,src
src/types/curriculum.ts,ts,246,8,src
src/types/lesson.ts,ts,2918,118,src
src/types/mastery.ts,ts,174,6,src
src/types/memoryVault.ts,ts,1942,74,src
src/types/progress.ts,ts,953,34,src
src/types/quiz.ts,ts,781,37,src
src/types/thinkingSystems.ts,ts,5538,195,src
src/types/user.ts,ts,279,8,src
tables/curriculum_content_artifact_backlog.csv,csv,2000,22,tables
tables/curriculum_curriculum_docs_completion_matrix.csv,csv,2667,21,tables
tables/curriculum_mvp_lesson_inventory.csv,csv,1419,13,tables
tables/curriculum_mvp_unit_map.csv,csv,6342,94,tables
tables/master_seed_lesson_map.csv,csv,2635,13,tables
tailwind.config.ts,ts,182,8,tailwind.config.ts
tsconfig.json,json,547,21,tsconfig.json
