lesson_id,misconception,simple_explanation,reteach_step_count,practice_prompt,practice_answer,exit_criteria
BA-G6-MATH-U1-L1,Student uses additive comparison instead of multiplicative ratio reasoning.,Equivalent ratios keep the same relationship by multiplying or dividing both parts by the same number.,5,Fix: 3:4 → 5:6 by adding 2,Not equivalent; scale by multiplication instead.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-MATH-U1-L1,Student uses additive comparison instead of multiplicative ratio reasoning.,Equivalent ratios keep the same relationship by multiplying or dividing both parts by the same number.,5,Part-to-whole in 2 red and 3 blue: red to total,2:5,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-ELA-U2-L1,Student names a topic or plot event instead of a theme statement.,A topic is one word or idea. A theme is what the story says about that idea.,5,Topic or theme: friendship,Topic,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-ELA-U2-L1,Student names a topic or plot event instead of a theme statement.,A topic is one word or idea. A theme is what the story says about that idea.,5,Topic or theme: True friends tell each other the truth,Theme,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-ELA-U2-L1,Student names a topic or plot event instead of a theme statement.,A topic is one word or idea. A theme is what the story says about that idea.,5,Best evidence: character apologizes or room is cold?,Character apologizes,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-ELA-U2-L1,Student names a topic or plot event instead of a theme statement.,A topic is one word or idea. A theme is what the story says about that idea.,5,Fix: Theme = “the race”,Trying again after failure can lead to growth.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-ELA-U2-L1,Student names a topic or plot event instead of a theme statement.,A topic is one word or idea. A theme is what the story says about that idea.,5,CER: What comes after evidence?,Reasoning,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SCI-U2-L1,Student memorizes a simple circle and thinks water disappears or follows only one fixed path.,"Water changes form and moves through connected places. The path can vary, but matter remains in the system.",5,Liquid to vapor = ?,Evaporation,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SCI-U2-L1,Student memorizes a simple circle and thinks water disappears or follows only one fixed path.,"Water changes form and moves through connected places. The path can vary, but matter remains in the system.",5,Vapor to droplets = ?,Condensation,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SCI-U2-L1,Student memorizes a simple circle and thinks water disappears or follows only one fixed path.,"Water changes form and moves through connected places. The path can vary, but matter remains in the system.",5,Water falling from clouds = ?,Precipitation,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SCI-U2-L1,Student memorizes a simple circle and thinks water disappears or follows only one fixed path.,"Water changes form and moves through connected places. The path can vary, but matter remains in the system.",5,Force pulling runoff downhill,Gravity,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SCI-U2-L1,Student memorizes a simple circle and thinks water disappears or follows only one fixed path.,"Water changes form and moves through connected places. The path can vary, but matter remains in the system.",5,Fix: evaporated water disappears,It becomes vapor in the atmosphere.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SS-U2-L1,Student gives one-cause explanations and ignores human adaptation or evidence.,"Geography creates opportunities and problems; people respond with tools, rules, and cooperation.",5,Feature supporting farming,River/fertile soil,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SS-U2-L1,Student gives one-cause explanations and ignores human adaptation or evidence.,"Geography creates opportunities and problems; people respond with tools, rules, and cooperation.",5,Extra food = ?,Surplus,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SS-U2-L1,Student gives one-cause explanations and ignores human adaptation or evidence.,"Geography creates opportunities and problems; people respond with tools, rules, and cooperation.",5,Human response to dry land,Irrigation,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SS-U2-L1,Student gives one-cause explanations and ignores human adaptation or evidence.,"Geography creates opportunities and problems; people respond with tools, rules, and cooperation.",5,Evidence for settlement pattern,Map showing cities near rivers,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
BA-G6-SS-U2-L1,Student gives one-cause explanations and ignores human adaptation or evidence.,"Geography creates opportunities and problems; people respond with tools, rules, and cooperation.",5,Fix: geography caused everything,"Geography influenced development, but people adapted and organized.",Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ALG-U1-L1,Student treats variable terms as addition or treats variables as labels instead of quantities.,A variable stands for a quantity. A coefficient tells how many groups of that quantity.,5,Expression or equation: 3x + 2,Expression,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ALG-U1-L1,Student treats variable terms as addition or treats variables as labels instead of quantities.,A variable stands for a quantity. A coefficient tells how many groups of that quantity.,5,Coefficient in 7p,7,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ALG-U1-L1,Student treats variable terms as addition or treats variables as labels instead of quantities.,A variable stands for a quantity. A coefficient tells how many groups of that quantity.,5,Evaluate x + 6 when x=4,10,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ALG-U1-L1,Student treats variable terms as addition or treats variables as labels instead of quantities.,A variable stands for a quantity. A coefficient tells how many groups of that quantity.,5,Write 3 times n,3n,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ALG-U1-L1,Student treats variable terms as addition or treats variables as labels instead of quantities.,A variable stands for a quantity. A coefficient tells how many groups of that quantity.,5,Fix: 4m = 4 + m,4m = 4 × m,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ENG-U3-L1,Student thinks evidence alone proves the claim without reasoning.,Evidence is the proof. Reasoning is the bridge that tells the reader how the proof supports the claim.,5,CER letters,"Claim, Evidence, Reasoning",Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ENG-U3-L1,Student thinks evidence alone proves the claim without reasoning.,Evidence is the proof. Reasoning is the bridge that tells the reader how the proof supports the claim.,5,Missing part after quote,Reasoning,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ENG-U3-L1,Student thinks evidence alone proves the claim without reasoning.,Evidence is the proof. Reasoning is the bridge that tells the reader how the proof supports the claim.,5,Relevant evidence for “tired”: “yawning” or “blue shoes”?,Yawn,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ENG-U3-L1,Student thinks evidence alone proves the claim without reasoning.,Evidence is the proof. Reasoning is the bridge that tells the reader how the proof supports the claim.,5,Fix: “He is kind. Quote.”,Add explanation of how the quote shows kindness.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-ENG-U3-L1,Student thinks evidence alone proves the claim without reasoning.,Evidence is the proof. Reasoning is the bridge that tells the reader how the proof supports the claim.,5,Counterclaim means?,Opposing/alternative claim,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-BIO-U2-L1,Student memorizes organelle names without understanding interactions.,A cell is not just a list of parts; it is a system where each part affects other parts.,5,Boundary controlling exchange,Cell membrane,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-BIO-U2-L1,Student memorizes organelle names without understanding interactions.,A cell is not just a list of parts; it is a system where each part affects other parts.,5,Protein-making structure,Ribosome,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-BIO-U2-L1,Student memorizes organelle names without understanding interactions.,A cell is not just a list of parts; it is a system where each part affects other parts.,5,Stores DNA,Nucleus,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-BIO-U2-L1,Student memorizes organelle names without understanding interactions.,A cell is not just a list of parts; it is a system where each part affects other parts.,5,Usable energy organelle,Mitochondria,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-BIO-U2-L1,Student memorizes organelle names without understanding interactions.,A cell is not just a list of parts; it is a system where each part affects other parts.,5,Fix: cells are just parts,Cells are systems of interacting parts.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-WH-U2-L1,Student uses single-cause explanations or treats all civilizations as identical.,"River valleys created opportunities, but human organization, technology, and institutions shaped outcomes.",5,Water + fertile soil support what?,Agriculture,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-WH-U2-L1,Student uses single-cause explanations or treats all civilizations as identical.,"River valleys created opportunities, but human organization, technology, and institutions shaped outcomes.",5,Extra food = ?,Surplus,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-WH-U2-L1,Student uses single-cause explanations or treats all civilizations as identical.,"River valleys created opportunities, but human organization, technology, and institutions shaped outcomes.",5,Surplus enables what?,Specialization/larger populations,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-WH-U2-L1,Student uses single-cause explanations or treats all civilizations as identical.,"River valleys created opportunities, but human organization, technology, and institutions shaped outcomes.",5,Built water system = ?,Irrigation/canal/infrastructure,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
SA-G9-WH-U2-L1,Student uses single-cause explanations or treats all civilizations as identical.,"River valleys created opportunities, but human organization, technology, and institutions shaped outcomes.",5,Fix: rivers caused everything,Rivers influenced development along with human organization and technology.,Student completes at least 4 of 5 reteach items and explains the corrected misconception.
