lesson_id,question_id,type,difficulty,skill_tag,question,choices,correct_answer,explanation
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q11,mc,hard,CRITICAL.CHECK_MODEL,"If groups are 4, 4, and 5, what should you do first?","[""Multiply 3 × 4"", ""Multiply 3 × 5"", ""Notice the groups are not equal"", ""Add only 4 + 5""]",Notice the groups are not equal,Multiplication needs equal groups.
FA-G3-MATH-U1-L1,FA-G3-MATH-U1-L1-Q12,explain,medium,EVIDENCE.MODEL,How can an array help you check a multiplication answer?,,"It shows equal rows and columns, so you can count or skip-count the total.",Arrays make the group structure visible.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q01,mc,easy,ELA.TOPIC_VS_MAIN_IDEA,"Which is a topic, not a main idea?","[""Butterflies"", ""Butterflies change during their life cycle."", ""Butterflies begin as eggs."", ""Butterflies use wings to fly.""]",Butterflies,"A topic is the subject, not the full important point."
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q02,mc,easy,ELA.MAIN_IDEA,"Which main idea matches details about roots, stems, leaves, and flowers?","[""Plants have parts that help them live."", ""Flowers are colorful."", ""Roots are underground."", ""Leaves can be green.""]",Plants have parts that help them live.,It covers all the key details.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q03,short,medium,ELA.SUMMARY,"Write a main idea for details about exercise helping your heart, muscles, and mood.",,Exercise helps the body in many ways.,The answer should cover all listed details.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q04,mc,medium,EVIDENCE.RELEVANCE,Which detail best supports “Dogs can help people”?,"[""Dogs have fur."", ""Some dogs guide people who cannot see."", ""Dogs can be brown."", ""Dogs like naps.""]",Some dogs guide people who cannot see.,It directly proves dogs can help.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q05,error,medium,MISTAKE.TOPIC_AS_MAIN_IDEA,A student says the main idea of a paragraph about animal habitats is “trees.” What might be wrong?,,"“Trees” is probably only a topic or detail, not a complete main idea about habitats.",Main ideas are complete points.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q06,mc,easy,ELA.MAIN_IDEA_CHECK,A main idea should match...,"[""only the first sentence"", ""most important details"", ""the longest word"", ""one fun fact""]",most important details,Main ideas are supported by key details.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q07,explain,medium,EVIDENCE.REASONING,Why is evidence important when choosing a main idea?,,Evidence proves the main idea is supported by the text.,Students should name proof/details.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q08,apply,medium,INTERPRET.DETAILS,Read this detail set: “Clouds darken. Wind grows stronger. Rain begins to fall.” Write the main idea.,,"A storm is beginning, or weather changes before rain.",Accept a sentence covering all details.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q09,mc,medium,CRITICAL.RELEVANCE,Which detail is least useful for a paragraph about how libraries help readers?,"[""Libraries have books."", ""Libraries let people borrow books."", ""Some libraries have blue chairs."", ""Librarians help people find books.""]",Some libraries have blue chairs.,It is not central to how libraries help readers.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q10,short,medium,CREATE.MAIN_IDEA,Turn the topic “volcanoes” into a main idea sentence.,,Example: Volcanoes can change the land when they erupt.,A complete sentence about volcanoes is required.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q11,mc,easy,PROCESS.READING,What should you do before writing the main idea?,"[""Guess quickly"", ""Find key details"", ""Count the letters"", ""Skip the passage""]",Find key details,Details are the evidence.
FA-G3-ELA-U2-L1,FA-G3-ELA-U2-L1-Q12,explain,hard,EVIDENCE.SYNTHESIS,How can two details work together to prove one main idea?,,They show related evidence that points to the same important message.,Look for connection language.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q01,mc,easy,SCI.SEQUENCE,Which stage usually comes first in a flowering plant life cycle?,"[""flower"", ""seed"", ""mature plant"", ""fruit""]",seed,Many flowering plants begin as seeds.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q02,mc,easy,SCI.VOCAB,What is germination?,"[""a plant making fruit"", ""a seed beginning to grow"", ""a flower losing petals"", ""a leaf changing color""]",a seed beginning to grow,Germination is the start of growth from a seed.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q03,short,medium,SCI.NEEDS,Name two things many seeds need to germinate.,,"water and warmth, or water and air depending context",Seeds need proper conditions to begin growing.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q04,mc,easy,SYSTEMS.CYCLE,Why is a life cycle shown as a circle?,"[""Plants are round"", ""The stages can repeat"", ""The plant never changes"", ""The seed is a circle""]",The stages can repeat,New seeds can start the cycle again.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q05,error,medium,MISTAKE.SEQUENCE,A student orders the stages: seed → flower → seedling. What is wrong?,,A seedling grows before the mature plant makes flowers.,The sequence is incorrect.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q06,explain,medium,EVIDENCE.REASONING,How does the flower stage help the plant life cycle continue?,,Flowers can help produce seeds through pollination/reproduction.,Look for seed-making connection.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q07,mc,easy,SCI.VOCAB,Which is a young plant?,"[""seed"", ""seedling"", ""pollen"", ""soil""]",seedling,A seedling is a young plant.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q08,apply,medium,SCI.INTERPRET_MODEL,"A plant has roots, stem, leaves, and flowers. What stage is it likely in?",,Mature plant/flowering stage.,The presence of flowers suggests maturity.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q09,mc,medium,EVIDENCE.SCIENCE,Which detail is evidence that a plant is reproducing?,"[""It has green leaves"", ""It is making new seeds"", ""It is in soil"", ""It is near sunlight""]",It is making new seeds,Reproduction makes new plants possible.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q10,short,easy,SCI.SEQUENCE,What stage comes after a seed begins to sprout?,,seedling,"After germination, it becomes a young plant."
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q11,explain,hard,SYSTEMS.CAUSE_EFFECT,Why would a plant without water have trouble completing its life cycle?,,"It may not germinate or grow, so it cannot mature and make seeds.",Connect needs to stages.
FA-G3-SCI-U1-L1,FA-G3-SCI-U1-L1-Q12,apply,medium,CREATE.MODEL,Draw or describe a circular plant life-cycle model.,,Seed → germination → seedling → mature plant/flower → seeds → seed.,Must include repeating cycle.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q01,mc,easy,SS.ROLE,Which is a role in a community?,"[""library"", ""teacher"", ""park"", ""street""]",teacher,Teacher is a role; library and park are places.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q02,mc,easy,SS.NEEDS,Which role helps meet the need for safety?,"[""firefighter"", ""artist"", ""cashier"", ""musician""]",firefighter,Firefighters help protect people and respond to emergencies.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q03,short,easy,CIVICS.RESPONSIBILITY,Name one responsibility of a student in a classroom community.,,"Follow rules, help classmates, listen, clean up, etc.",Responsibilities help the group work.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q04,mc,medium,SS.SERVICE,Which is a service?,"[""helping someone find a book"", ""a building wall"", ""the color blue"", ""a tree leaf""]",helping someone find a book,A service is work that helps people.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q05,explain,medium,EVIDENCE.REASONING,How does a grocery store help a community?,,It helps people get food and supplies they need.,Connect role/place to need.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q06,error,medium,MISTAKE.PLACE_ROLE,"A student says, “A hospital is a role.” Find and fix the mistake.",,"Hospital is a place; doctor, nurse, and paramedic are roles.",Place versus role misconception.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q07,mc,easy,SS.MATCH,Which pair makes the most sense?,"[""school—learning"", ""park—medicine"", ""library—fire safety"", ""clinic—sports games""]",school—learning,Schools help meet the need for learning.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q08,apply,medium,SYSTEMS.CAUSE_EFFECT,A town has no crossing guards near a busy school. What community need might be affected?,,Safety for students crossing streets.,Connect missing role to need.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q09,short,medium,EVIDENCE.CIVICS,Give evidence for this claim: “Students help their classroom community.”,,"Students can follow rules, share, help clean, or help classmates.",Use a specific example.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q10,mc,medium,SYSTEMS.COMMUNITY,Why do communities need different roles?,"[""One person can do everything"", ""Different needs require different kinds of help"", ""Rules do not matter"", ""Places are all the same""]",Different needs require different kinds of help,Communities are systems with many needs.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q11,discussion,medium,DISCUSSION.FRAME,Use this sentence frame: “I think ___ is an important community role because ___.”,,Any valid role plus reason.,Measures structured discussion.
FA-G3-SS-U1-L1,FA-G3-SS-U1-L1-Q12,challenge,hard,CRITICAL.COMMUNITY_PROBLEM,Choose one community problem and name two roles that could help solve it.,,"Example: litter in park—students and park workers can clean, city leaders can add bins.",Multiple-role reasoning required.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q01,mc,easy,MATH.RATIO_LANGUAGE,Which ratio means 5 apples to 8 oranges?,"[""8:5"", ""5:8"", ""5+8"", ""8-5""]",5:8,"The order is apples first, oranges second."
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q02,short,medium,MATH.EQUIVALENT_RATIO,Scale the ratio 2:7 by 4.,,8:28,Multiply both parts by 4.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q03,mc,medium,MATH.EQUIVALENT_RATIO,Which is equivalent to 3:5?,"[""6:10"", ""4:6"", ""9:10"", ""5:3""]",6:10,Both parts were multiplied by 2.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q04,error,medium,MISTAKE.ADDITIVE_RATIO,A student says 2:3 is equivalent to 4:5 because both numbers increased by 2. Find the error.,,"Equivalent ratios require multiplying/dividing both parts by the same factor, not adding the same number.",Targets additive reasoning.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q05,explain,medium,CRITICAL.ORDER,Why does 3:2 not mean the same as 2:3?,,The order reverses which quantity is first and changes the relationship in context.,Order carries meaning.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q06,apply,medium,MATH.RATIO_CONTEXT,A recipe uses 1 cup rice for every 2 cups water. How much water for 4 cups rice?,,8 cups water,Scale 1:2 by 4.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q07,mc,easy,MATH.PART_TO_PART,A class has 12 students: 5 play soccer and 7 do not. What is the ratio soccer to not soccer?,"[""5:7"", ""7:5"", ""5:12"", ""12:5""]",5:7,It asks part-to-part.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q08,mc,medium,MATH.PART_TO_WHOLE,"Using the same class, what is the ratio soccer to total students?","[""5:7"", ""7:12"", ""5:12"", ""12:7""]",5:12,It asks part-to-whole.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q09,short,medium,MATH.SIMPLIFY,Simplify 10:15.,,2:3,Divide both parts by 5.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q10,evidence,medium,EVIDENCE.RATIO,Prove that 12:18 and 2:3 are equivalent.,,"Divide both 12 and 18 by 6, or multiply 2:3 by 6.",Requires evidence.
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q11,mc,hard,MATH.DISTRACTOR,Which pair is NOT equivalent to 4:6?,"[""2:3"", ""8:12"", ""12:18"", ""6:8""]",6:8,"6:8 simplifies to 3:4, not 2:3."
BA-G6-MATH-U1-L1,BA-G6-MATH-U1-L1-Q12,apply,hard,MATH.MULTISTEP,Design a sports drink recipe with a ratio of 2 scoops powder to 5 cups water for 20 cups water.,,8 scoops powder,"Scale 5 cups water to 20 by multiplying by 4, so 2 scoops becomes 8."
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q01,mc,easy,ELA.THEME,"Which is a theme, not a topic?","[""courage"", ""friendship"", ""Hard work can help people overcome obstacles."", ""the forest""]",Hard work can help people overcome obstacles.,It is a full message about life.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q02,mc,easy,EVIDENCE.RELEVANCE,Which evidence best supports a theme about perseverance?,"[""The sky was gray."", ""Lena practiced every day after failing the first test."", ""The room had three windows."", ""Lena liked blue shoes.""]",Lena practiced every day after failing the first test.,It shows continuing despite difficulty.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q03,short,medium,CREATE.THEME,Turn the topic “honesty” into a theme statement.,,"Example: Honesty can be difficult, but it helps rebuild trust.",Must be a full message about life.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q04,error,medium,MISTAKE.PLOT_THEME,A student says the theme is “the dog ran away.” What is wrong?,,"That is a plot event, not a life message.",Theme is deeper than plot summary.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q05,explain,medium,EVIDENCE.REASONING,Why does a theme need text evidence?,,Evidence proves the theme is supported by the story instead of guessed.,Claim must be justified.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q06,mc,easy,INTERPRET.PATTERN,Which detail would help infer theme most?,"[""main character choice"", ""page number"", ""font style"", ""chapter title color""]",main character choice,Character choices reveal meaning.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q07,cer,medium,CER.EVIDENCE,Claim: The story shows that trust must be earned. What evidence would support this claim?,,Evidence where a character acts responsibly or repairs harm and others trust them again.,Assess relevance and reasoning.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q08,discussion,medium,DISCUSSION.FRAME,Use the frame: “I interpret the theme as ___ because ___.”,,Valid theme plus evidence-based reason.,Structured academic dialogue.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q09,mc,medium,CRITICAL.EVIDENCE_QUALITY,Which is the weakest evidence for a theme about sacrifice?,"[""A character gives up free time to help someone."", ""A character shares food when hungry."", ""A character buys a red notebook."", ""A character takes a risk for a friend.""]",A character buys a red notebook.,It does not show sacrifice.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q10,apply,medium,INTERPRET.THEME,A character fails twice but tries a new strategy and finally succeeds. Infer a theme.,,Perseverance and learning from failure can lead to success.,Theme should generalize from the evidence.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q11,short,easy,CER.REASONING,What is the reasoning part of CER?,,,The explanation of how the evidence supports the claim.
BA-G6-ELA-U2-L1,BA-G6-ELA-U2-L1-Q12,challenge,hard,CRITICAL.COUNTERARGUMENT,Give a counter-theme someone might argue and explain what evidence would be needed.,,A valid alternate theme plus necessary supporting evidence.,Advanced interpretation.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q01,mc,easy,SCI.WATER_CYCLE.VOCAB,Which process changes liquid water into water vapor?,"[""condensation"", ""precipitation"", ""evaporation"", ""collection""]",evaporation,Evaporation changes liquid to gas.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q02,mc,easy,SCI.WATER_CYCLE.PROCESS,Which process forms clouds?,"[""condensation"", ""runoff"", ""collection"", ""melting""]",condensation,Water vapor cools into droplets.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q03,short,easy,SCI.SYSTEMS.RESERVOIR,Name two water reservoirs.,,"Examples: ocean, lake, river, atmosphere, ice, groundwater, soil, plants.",Reservoirs store water.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q04,explain,medium,EVIDENCE.ENERGY,Why is the Sun important to the water cycle?,,It provides energy for evaporation and helps drive movement of water into the atmosphere.,Energy reasoning required.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q05,error,medium,MISTAKE.MATTER_CONSERVATION,A student says evaporated water is gone forever. Find and fix the error.,,It is not gone; it changed into water vapor in the atmosphere.,Matter changes form/location.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q06,mc,easy,SCI.FORCES.GRAVITY,What force causes rainwater to flow downhill into rivers?,"[""magnetism"", ""gravity"", ""sound"", ""moonlight""]",gravity,Gravity pulls water downward.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q07,apply,medium,SCI.APPLY,A puddle shrinks on a hot day. Which process is likely happening?,,Evaporation.,Heat energy causes liquid water to become vapor.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q08,mc,medium,SYSTEMS.COMPLEXITY,Which is NOT always part of a simple water cycle diagram but is part of the real system?,"[""groundwater"", ""clouds"", ""rain"", ""evaporation""]",groundwater,Groundwater is often omitted in simple diagrams but is important.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q09,short,medium,SCI.VOCAB,What is transpiration?,,Water vapor released by plants.,Plants are part of the water cycle.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q10,evidence,hard,SYSTEMS.EVIDENCE,Use evidence to support: “The water cycle is a system.”,,"It has connected parts such as reservoirs, processes, energy, and gravity that affect one another.",Must name connected parts.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q11,mc,medium,SCI.SEQUENCE,Which sequence is reasonable?,"[""evaporation → condensation → precipitation"", ""precipitation → evaporation → ocean disappears"", ""condensation → gravity → sunlight"", ""collection → no movement → evaporation impossible""]",evaporation → condensation → precipitation,This follows common water-cycle processes.
BA-G6-SCI-U2-L1,BA-G6-SCI-U2-L1-Q12,challenge,hard,SYSTEMS.MODEL,Describe a droplet path that includes groundwater before returning to the ocean.,,"Example: precipitation infiltrates soil, enters groundwater, flows to stream, returns to ocean.",Complex systems path.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q01,mc,easy,SS.GEOGRAPHY.FARMING,Which geographic feature most directly supports farming?,"[""river water and fertile soil"", ""tall palace walls"", ""painted pottery"", ""gold jewelry""]",river water and fertile soil,Farming needs water and fertile soil.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q02,mc,easy,SS.VOCAB,What is surplus?,"[""not enough food"", ""extra food or goods"", ""a mountain barrier"", ""a writing system""]",extra food or goods,Surplus means more than immediate need.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q03,short,medium,SS.CAUSE_EFFECT,Explain one way rivers supported trade.,,Rivers could be used for transportation and exchange of goods.,Connect river to movement/trade.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q04,error,hard,CRITICAL.COMPLEXITY,A student says geography made civilization happen automatically. What is missing?,,"Human choices, technology, cooperation, government, and adaptation also mattered.",Avoid geographic determinism.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q05,mc,medium,EVIDENCE.MAP,Which evidence best supports “settlements grew near water”?,"[""Map shows cities along river valleys"", ""A story about a king"", ""A picture of a pot"", ""A list of gods""]",Map shows cities along river valleys,Map evidence directly supports settlement patterns.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q06,explain,medium,SS.IRRIGATION,How could irrigation change a community?,,"It could bring water to crops, increase food production, support surplus, and help larger settlements.",Requires cause/effect chain.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q07,mc,medium,GEOGRAPHY.TRADEOFF,Which is a possible challenge of mountains?,"[""protection and isolation"", ""easy river farming"", ""unlimited flat land"", ""guaranteed trade""]",protection and isolation,Mountains can protect but make movement harder.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q08,apply,medium,APPLY.SETTLEMENT,Choose the better settlement: near a river with fertile soil or far from water. Explain.,,"Near river, because water and fertile soil support farming and settlement.",Must cite geographic evidence.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q09,short,medium,SS.VOCAB,What is a civilization?,,"A complex society with cities, government, specialized jobs, culture, and record keeping.",Definition may vary but needs complexity.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q10,evidence,medium,EVIDENCE.REASONING,Use map evidence to support why a river valley might attract people.,,Map shows water source/fertile land/transport route; these meet needs.,Evidence and reasoning required.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q11,discussion,medium,DISCUSSION.FRAME,Use frame: “The most important geographic feature was ___ because ___.”,,,A feature plus evidence-based reason.
BA-G6-SS-U2-L1,BA-G6-SS-U2-L1-Q12,challenge,hard,CRITICAL.TRADEOFF,Explain one benefit and one problem of settling near a river.,,Benefit: water/farming/trade. Problem: flooding/conflict/limited land.,Tradeoff reasoning.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q01,mc,easy,ALG.EXPRESSION,Which is an expression?,"[""3x + 7"", ""3x + 7 = 19"", ""x = 4"", ""7 < x""]",3x + 7,An expression has no equals or inequality sign.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q02,short,medium,ALG.WRITE,Write an expression for 9 more than twice a number n.,,2n + 9,Twice a number is 2n; 9 more adds 9.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q03,mc,easy,ALG.VOCAB,"In 5x + 12, what is the coefficient?","[""5"", ""x"", ""12"", ""17""]",5,The coefficient multiplies the variable.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q04,short,medium,ALG.EVALUATE,Evaluate 3a - 4 when a = 6.,,14,3(6) - 4 = 18 - 4 = 14.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q05,error,medium,MISTAKE.COEFFICIENT,A student interprets 4x as 4 + x. Fix the misconception.,,"4x means 4 multiplied by x, or four groups of x.",Juxtaposition means multiplication.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q06,explain,medium,STRUCTURE.REASONING,Why does 8 + 3m have a constant and a variable term?,,8 is fixed; 3m changes based on the number of movies.,Connect structure to context.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q07,mc,easy,ALG.CONTEXT,Which expression represents 5 dollars per ticket for t tickets?,"[""5 + t"", ""5t"", ""t - 5"", ""5/t""]",5t,$5 for each ticket means 5 times t.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q08,apply,medium,ALG.MODEL,A gym charges $20 plus $15 per month. Write an expression for m months.,,20 + 15m,Fixed fee plus monthly fee.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q09,mc,medium,ALG.CHECK,Which value checks 20 + 15m for zero months?,"[""20"", ""15"", ""35"", ""0""]",20,"If m=0, the monthly term is 0, leaving the fixed fee."
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q10,short,easy,ALG.STRUCTURE,Name the terms in 4x + 7.,,4x and 7,Terms are separated by addition/subtraction.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q11,evidence,medium,EVIDENCE.EXPRESSION,Prove that 2n + 5 represents “5 more than twice n.”,,2n means twice n; +5 means 5 more.,Requires structure explanation.
SA-G9-ALG-U1-L1,SA-G9-ALG-U1-L1-Q12,challenge,hard,ALG.TRANSFER,"Write two different contexts for 10 + 2x and explain what 10, 2, and x mean in each.",,Two valid contexts with interpreted terms.,Transfer understanding.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q01,mc,easy,CER.CLAIM,Which is a claim?,"[""The quote is on page 4."", ""The narrator is unreliable."", ""“I never said that.”"", ""The story has ten paragraphs.""]",The narrator is unreliable.,It is an arguable interpretation needing support.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q02,mc,easy,CER.EVIDENCE,Which evidence best supports “The narrator is nervous”?,"[""She taps her foot and whispers, “What if I fail?”"", ""The room has a door."", ""It is Tuesday."", ""The table is wooden.""]","She taps her foot and whispers, “What if I fail?”",It directly shows nervous behavior and words.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q03,short,medium,CER.REASONING,Write reasoning for this evidence: “He returned the lost wallet.” Claim: He is honest.,,Returning the wallet shows honesty because he chose to give back something that was not his.,Reasoning connects action to trait.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q04,error,medium,MISTAKE.QUOTE_DROP,A student writes a quote and then stops. What is missing?,,Reasoning/explanation of how the quote supports the claim.,Quote dropping misconception.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q05,mc,easy,EVIDENCE.RELEVANCE,Which evidence is least relevant to “The school should start later because teens need sleep”?,"[""Research shows teens need 8–10 hours sleep."", ""Later start schools report better attendance."", ""The school mascot is a tiger."", ""Students say they feel tired in first period.""]",The school mascot is a tiger.,It does not support the sleep claim.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q06,explain,medium,WRITING.ANALYSIS,Why can reasoning be more than one sentence?,,"Complex evidence may need several sentences to explain meaning, context, and connection to the claim.",Deep explanation.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q07,short,medium,CREATE.CLAIM,Create a claim about a character who helps others despite danger.,,Example: The character is selfless/brave because they risk safety to help others.,Claim should be arguable and specific.
